id,siren,name,brand_name,description,address,city,postal_code,country,phone,website,logo,siret,ceo_name,ape,founded_date,turnover_2022,gouv_searched,gouv_street,gouv_city,gouv_postal_code,gouv_country,gouv_lat,gouv_lng
164,847593225,AAA COIFFURE,AAA COIFFURE,,11 RUE PAGANINI,NICE,06000,,,,,84759322500018,Salah HARROU,9602A,2019-01-15,33300.0,1,Rue Paganini,Nice,06000,,43.702199,7.263926
203,331057406,ACA NEXIA,ACA NEXIA,,31 RUE HENRI ROCHEFORT,PARIS,75017,,,,,33105740600067,Olivier LELONG,6920Z,1984-09-01,18602980.0,1,Rue Henri Rochefort,Paris,75017,,48.882511,2.308276
163,845298249,AEV AUTO ECOLE VEILLON,AUTO ECOLE VEILLON,,11 AVENUE VILLERMONT,NICE,06000,,,,,84529824900028,Emna KHALFAOUI,8553Z,2019-01-09,244188.0,1,Avenue Villermont,Nice,06000,,43.7093,7.264297
527,316473305,AGRI-POLE,AGRI-POLE,,RUE SAINT VICTOR,VILLEFRANCHE-DE-ROUERGUE,34420,,,,,31647330500035,Robert BARTHES,4661Z,1979-01-01,,0,,,,,,
310,349638395,AIR CORSICA,CCM AIRLINES,,CAMPO DELL ORO,AJACCIO,20090,,,,,34963839500021,Luc BERENI,5110Z,1990-01-01,130850508.0,1,Campo Dell Oro,Ajaccio,20090,,41.929606,8.804378
137,450351325,AITEC EVOLUTION,AITEC EVOLUTION,,102 AVENUE ESTIENNE D ORVES PROL,NICE,06100,,,,,45035132500037,Laurent AICARDI,4321A,2003-10-01,5699000.0,0,,,,,,
179,312196777,AIX AUTOMOBILES,TOA,,730 RUE GUILLAUME DU VAIR,AIX-EN-PROVENCE,13290,,,,,31219677700014,SAAEM SA,4511Z,1964-01-01,68192548.0,1,Rue Guillaume du Vair,Aix-en-Provence,13290,,43.50718,5.399349
162,843587825,AKPE,AKPE,,6 BIS AVENUE DURANTE,NICE,06000,,,,,84358782500012,Walid AMOR,4322A,2018-10-25,32500.0,1,Avenue Durante,Nice,06000,,43.702007,7.262613
165,848012662,A L'HEURE D'EMILIE,A L'HEURE D'EMILIE,,16 RUE HOTEL DES POSTES,NICE,06000,,,,,84801266200013,Emilie CIAIS,9525Z,2019-01-21,96000.0,1,Rue de l'Hôtel des Postes,Nice,06000,,43.701186,7.274438
304,347951238,ALSTOM HOLDINGS,DEM LCA,,48 RUE ALBERT DHALENNE,SAINT OUEN SUR SEINE,93400,,,,,34795123800869,Laurent MARTINEZ,7010Z,1988-09-05,353000000.0,1,Rue Albert Dhalenne,Saint-Ouen-sur-Seine,93400,,48.914934,2.330397
128,389573981,AMBROSI France,AMBROSI FRANCE,,5 PLACE ILE DE BEAUTE,NICE,06300,,,,,38957398100013,Giuseppe AMBROSI,4633Z,1992-12-24,104594100.0,1,Place de l'Ile de Beauté,Nice,06300,,43.698677,7.285621
307,348390626,AMCOR FLEXIBLE CAPSULES France,AMCOR FLEXIBLES CAPSULES FRANCE,,1 RUE DE MANTES,COLOMBES,92700,,,,,34839062600292,AMCOR FRANCE,2592Z,1988-10-15,109282503.0,1,Rue de Mantes,Colombes,92700,,48.909653,2.233652
278,333520591,A.M.S. FRANCE AFRICA MOBILITY SOLUTIONS France,CPS CFAO TEC,,57 RUE YVES KERMEN,BOULOGNE-BILLANCOURT,92100,,,,,33352059100095,Annie DATEU,4531Z,1985-08-20,770142148.0,1,Rue Yves Kermen,Boulogne-Billancourt,92100,,48.827608,2.240651
139,452716285,ANA,ANA,,253 BOULEVARD DE LA MADELEINE,NICE,06000,,,,,45271628500021,Atik OGANESSOV,4399C,2004-03-02,23500.0,1,Boulevard de la Madeleine,Nice,06000,,43.71211,7.22561
