ape_code,capital_moy_sect,enrollment_moy_sect,last_number_of_employees_moy_sect,employees_number_for_linkedin_moy_sect,revenue_2021_moy_sect,revenue_2020_moy_sect,revenue_2019_moy_sect,revenue_2018_moy_sect,net_result_2021_moy_sect,equity_2021_moy_sect,roe_2021_moy_sect,net_debt_2021_moy_sect,current_assets_2021_moy_sect,current_liabilities_2021_moy_sect,solvability_ratio_2021_moy_sect,gross_operating_ebitda_2021_moy_sect,gross_operating_ebitda_ratio_2021_moy_sect,reimbursement_ratio_2021_moy_sect,robustness_ratio_2021_moy_sect,net_result_2020_moy_sect,equity_2020_moy_sect,roe_2020_moy_sect,net_debt_2020_moy_sect,current_assets_2020_moy_sect,current_liabilities_2020_moy_sect,solvability_ratio_2020_moy_sect,gross_operating_ebitda_2020_moy_sect,gross_operating_ebitda_ratio_2020_moy_sect,reimbursement_ratio_2020_moy_sect,robustness_ratio_2020_moy_sect,net_result_2019_moy_sect,equity_2019_moy_sect,roe_2019_moy_sect,net_debt_2019_moy_sect,current_assets_2019_moy_sect,current_liabilities_2019_moy_sect,solvability_ratio_2019_moy_sect,gross_operating_ebitda_2019_moy_sect,gross_operating_ebitda_ratio_2019_moy_sect,reimbursement_ratio_2019_moy_sect,robustness_ratio_2019_moy_sect,net_result_2018_moy_sect,equity_2018_moy_sect,roe_2018_moy_sect,net_debt_2018_moy_sect,current_assets_2018_moy_sect,current_liabilities_2018_moy_sect,solvability_ratio_2018_moy_sect,gross_operating_ebitda_2018_moy_sect,gross_operating_ebitda_ratio_2018_moy_sect,reimbursement_ratio_2018_moy_sect,robustness_ratio_2018_moy_sect,growth_ratio_2021_moy_sect,growth_ratio_2020_moy_sect,growth_ratio_2019_moy_sect,resultat_exploitation_ratio_2021_moy_sect,resultat_exploitation_ratio_2020_moy_sect,resultat_exploitation_ratio_2019_moy_sect,resultat_exploitation_ratio_2018_moy_sect,revenue_2022_moy_sect,net_result_2022_moy_sect,equity_2022_moy_sect,roe_2022_moy_sect,net_debt_2022_moy_sect,current_assets_2022_moy_sect,current_liabilities_2022_moy_sect,solvability_ratio_2022_moy_sect,gross_operating_ebitda_2022_moy_sect,gross_operating_ebitda_ratio_2022_moy_sect,gross_operating_ebitda_ratio_moy_sect,reimbursement_ratio_2022_moy_sect,robustness_ratio_2022_moy_sect,resultat_exploitation_ratio_2022_moy_sect,resultat_d_exploitation_2021_moy_sect,resultat_d_exploitation_2020_moy_sect,resultat_d_exploitation_2019_moy_sect,resultat_d_exploitation_2018_moy_sect,resultat_d_exploitation_2022_moy_sect,resultat_exploitation_ratio_moy_sect,net_result_moy_sect,current_assets_moy_sect,equity_moy_sect,current_liabilities_moy_sect,revenue_moy_sect,reimbursement_ratio_moy_sect,robustness_ratio_moy_sect,solvability_ratio_moy_sect,net_debt_moy_sect,gross_operating_ebitda_moy_sect,CAGR_18_22_moy_sect,RCI_2018_moy_sect,RCI_2019_moy_sect,RCI_2020_moy_sect,RCI_2021_moy_sect,RCI_2022_moy_sect,RCI_moy_sect,total_fonds_moy_sect,equity_costs_moy_sect,RdtCpx_moy_sect,RdtCpx_2018_moy_sect,RdtCpx_2019_moy_sect,RdtCpx_2020_moy_sect,RdtCpx_2021_moy_sect,RdtCpx_2022_moy_sect,capital_sum,enrollment_sum,last_number_of_employees_sum,employees_number_for_linkedin_sum,revenue_2021_sum,revenue_2020_sum,revenue_2019_sum,revenue_2018_sum,net_result_2021_sum,equity_2021_sum,roe_2021_sum,net_debt_2021_sum,current_assets_2021_sum,current_liabilities_2021_sum,gross_operating_ebitda_2021_sum,net_result_2020_sum,equity_2020_sum,roe_2020_sum,net_debt_2020_sum,current_assets_2020_sum,current_liabilities_2020_sum,gross_operating_ebitda_2020_sum,net_result_2019_sum,equity_2019_sum,roe_2019_sum,net_debt_2019_sum,current_assets_2019_sum,current_liabilities_2019_sum,gross_operating_ebitda_2019_sum,net_result_2018_sum,equity_2018_sum,roe_2018_sum,net_debt_2018_sum,current_assets_2018_sum,current_liabilities_2018_sum,gross_operating_ebitda_2018_sum,revenue_2022_sum,net_result_2022_sum,equity_2022_sum,roe_2022_sum,net_debt_2022_sum,current_assets_2022_sum,current_liabilities_2022_sum,gross_operating_ebitda_2022_sum,resultat_d_exploitation_2021_sum,resultat_d_exploitation_2020_sum,resultat_d_exploitation_2019_sum,resultat_d_exploitation_2018_sum,resultat_d_exploitation_2022_sum,net_result_sum,current_assets_sum,equity_sum,current_liabilities_sum,revenue_sum,net_debt_sum,gross_operating_ebitda_sum
0240Z,6018867.0,164.0,164.0,31450.0,20935648.0,19625720.0,19574466.0,18787869.0,2144226.0,12864427.0,0.1666787024404585,37599478.0,47581805.0,15093800.0,3.1524072798102534,2202394.0,0.1051982723438988,1.1732974970435917,0.1024198534480518,-131395.0,8720338.0,-0.0150676499007263,30942778.0,37358314.0,11306431.0,3.304165036694603,1263869.0,0.0643986055033904,1.2965588031106134,-0.006695040997222,70832.0,8851733.0,0.0080020488643297,39004728.0,41235798.0,11178767.0,3.688760844554681,1479237.0,0.0755697243541662,1.2628902159611004,0.0036185916898065,949463.0,8780901.0,0.1081281977783373,56701861.0,58190215.0,10644768.0,5.46655549468058,1906617.0,0.1014812802878282,1.2122637528882287,0.0505359601985728,0.066745474815701,0.0026184111484829,0.0418672814889224,0.0451252332863066,0.0037366272422107,0.0023817763406674,0.0550240689883456,,,,,,,,,,,0.0866619706223209,,,,944726.0,73334.0,46622.0,1033785.0,,0.026566926464382575,758281.5,46091533.0,9804349.75,12055941.5,19730925.75,1.2296523285493768,0.03746984108480227,3.9029721639350297,41062211.25,1713029.25,0.0370770558177021,0.019969588255211904,0.0023565867167652053,-0.005043589363578824,0.06600054389304606,,0.02227907512640114,50866561.0,0.0396373231817264,0.07734133515585774,0.10812819777833732,0.00800204886432973,-0.015067649900726326,0.1666787024404585,,6018867.0,164.0,164.0,31450.0,20935648.0,19625720.0,19574466.0,18787869.0,2144226.0,12864427.0,0.1666787024404585,37599478.0,47581805.0,15093800.0,2202394.0,-131395.0,8720338.0,-0.0150676499007263,30942778.0,37358314.0,11306431.0,1263869.0,70832.0,8851733.0,0.0080020488643297,39004728.0,41235798.0,11178767.0,1479237.0,949463.0,8780901.0,0.1081281977783373,56701861.0,58190215.0,10644768.0,1906617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944726.0,73334.0,46622.0,1033785.0,0.0,758281.5,46091533.0,9804349.75,12055941.5,19730925.75,41062211.25,1713029.25
0311Z,3100.0,30.0,30.0,30.0,5962535.0,4823971.0,,4426720.0,30147.0,115808.0,0.2603188035368886,3137372.0,3695131.0,737059.0,5.013344928967695,710068.0,0.119088273695668,6.364491226858248,0.0050560709496883,0.0,0.0,,0.0,0.0,0.0,,1803.0,0.000373758465795,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.2360221485576924,,,0.0086607458069428,0.0025841780557967,,,,,,,,,,,,,0.0597310160807315,,,,51640.0,12466.0,,,,0.00562246193136975,10049.0,1231710.3333333333,38602.666666666664,245686.33333333334,5071075.333333333,6.364491226858249,0.00252803547484415,5.013344928967695,1045790.6666666666,237290.33333333334,0.2360221485576924,,,,0.010191435502584115,,0.010191435502584117,1084393.3333333333,0.03177991995524379,0.26031880353688863,,,,0.26031880353688863,,3100.0,30.0,30.0,30.0,5962535.0,4823971.0,0.0,4426720.0,30147.0,115808.0,0.2603188035368886,3137372.0,3695131.0,737059.0,710068.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51640.0,12466.0,0.0,0.0,0.0,10049.0,1231710.3333333333,38602.666666666664,245686.33333333334,5071075.333333333,1045790.6666666666,237290.33333333334
0812Z,13153864.0,518.0,518.0,11.5,192021888.0,141663305.0,159995234.33333334,158489462.33333334,9279077.666666666,113049208.0,0.13611845708993794,87304759.66666667,125496989.66666667,142464179.33333334,0.9243913875104409,24846332.0,0.16802043588810112,1.2509457414950824,0.06998178726228653,2284732.6666666665,98976413.0,0.0658641375762366,69357083.0,96168400.66666667,118889585.33333333,0.8347496027936381,20248106.333333332,0.16967718325611028,1.2309703166221357,0.04240784610945456,6803298.333333333,98745210.66666667,0.10712057181597384,81345630.0,99985766.33333333,-42415334.0,0.20871508409901227,32239822.0,0.2833324520749607,0.5812419915182528,0.05806731404469443,1032811.6666666666,95401288.33333333,0.10756468507735571,75173611.33333333,91522815.33333333,118416730.66666667,0.8348534245087337,40352697.666666664,0.4113506010883365,1.2569103075139862,0.03790135317989656,0.5748327172549252,-0.10362981274227534,-0.09410900902661741,0.0922279785127091,0.0659854955491929,0.08739932878529279,0.1047202932612596,373268846.0,23430554.0,267011463.0,0.0877511165129266,222075054.0,244528682.0,312097893.0,0.7834999449996287,46355941.0,0.1241891507870442,0.2580951680768771,1.1688557842926766,0.0627712552255164,0.0396115377922539,9923833.0,2246254.0,6729655.666666667,5918449.0,14785753.0,0.07985565309238592,4849980.083333333,103293493.0,101543030.0,84338790.33333333,163230540.13333333,1.077561078908898,0.05520434631095981,0.7330738946311519,80531130.83333333,29421739.5,0.12569796516201084,-0.7452228088601377,-0.5964397199072414,-0.6003053859222296,-0.03217768543633668,-0.3467637649342983,-1.3310720268160898,182074160.83333334,0.057607460069313575,0.10636800876287715,0.10756468507735568,0.1071205718159739,0.06586413757623664,0.13611845708993797,0.08775111651292664,39461592.0,1554.0,1554.0,23.0,576065664.0,424989915.0,479985703.0,475468387.0,27837233.0,339147624.0,0.4083553712698138,261914279.0,376490969.0,427392538.0,74538996.0,6854198.0,296929239.0,0.1975924127287098,208071249.0,288505202.0,356668756.0,60744319.0,20409895.0,296235632.0,0.3213617154479215,244036890.0,299957299.0,-127246002.0,96719466.0,3098435.0,286203865.0,0.3226940552320671,225520834.0,274568446.0,355250192.0,121058093.0,373268846.0,23430554.0,267011463.0,0.0877511165129266,222075054.0,244528682.0,312097893.0,46355941.0,29771499.0,6738762.0,20188967.0,11836898.0,14785753.0,14549940.25,309880479.0,304629090.0,253016371.0,489691620.4,241593392.5,88265218.5
0893Z,68040000.0,527.0,527.0,331.0,159411000.0,147622000.0,149220000.0,144249000.0,14842000.0,128990000.0,0.1150631831924955,168940000.0,180979000.0,141277000.0,1.2810223886407557,31334000.0,0.1965610905144563,1.095255446158617,0.0931052436782907,11752000.0,126020000.0,0.093255038882717,104793000.0,120650000.0,140842000.0,0.8566336746141066,27772000.0,0.1881291406429936,1.1176162513886685,0.079608730406037,9154000.0,115936000.0,0.0789573557825007,99858000.0,115599000.0,131520000.0,0.8789461678832117,25342000.0,0.1698297815306259,1.134418989787469,0.0613456641200911,8739000.0,117007000.0,0.0746878391891083,72037000.0,116555000.0,156152000.0,0.7464201547210411,25823000.0,0.1790168389382248,1.3345526336031177,0.060582742341368,0.0798593705545244,-0.0107090202385739,0.0344612440987459,0.1217230931366091,0.1142241671295606,0.0961131215654738,0.108825711096784,165401000.0,10790000.0,132444000.0,0.0814683941892422,132177000.0,150438000.0,148205000.0,1.0150669680510105,29063000.0,0.1757123596592523,0.18338421290657514,1.1190012382591887,0.0652353976094461,0.1012146238535438,19404000.0,16862000.0,14342000.0,15698000.0,16741000.0,0.11022152323210688,11121750.0,133445750.0,121988250.0,142447750.0,153180600.0,1.167716972741227,0.07197555563104659,0.9556178707820251,115561000.0,27567750.0,0.03453719813823213,-0.22069853776801274,-0.5749638841781295,-0.5820126782884311,0.37383507128104376,4.832064487236901,-1.2354754499000222,237549250.0,0.05567641236501484,0.09117066602726082,0.07468783918910835,0.0789573557825007,0.09325503888271702,0.11506318319249555,0.08146839418924225,68040000.0,527.0,527.0,331.0,159411000.0,147622000.0,149220000.0,144249000.0,14842000.0,128990000.0,0.1150631831924955,168940000.0,180979000.0,141277000.0,31334000.0,11752000.0,126020000.0,0.093255038882717,104793000.0,120650000.0,140842000.0,27772000.0,9154000.0,115936000.0,0.0789573557825007,99858000.0,115599000.0,131520000.0,25342000.0,8739000.0,117007000.0,0.0746878391891083,72037000.0,116555000.0,156152000.0,25823000.0,165401000.0,10790000.0,132444000.0,0.0814683941892422,132177000.0,150438000.0,148205000.0,29063000.0,19404000.0,16862000.0,14342000.0,15698000.0,16741000.0,11121750.0,133445750.0,121988250.0,142447750.0,153180600.0,115561000.0,27567750.0
1011Z,545750.0,411.5,411.5,105.0,200775579.0,185567781.0,256353869.0,205650837.25,2439432.0,31156292.75,0.4051099366196547,22150723.25,31378981.25,32456669.25,2.633551081627713,4920819.5,0.0321420910886285,1.01466430946375,0.026854801564657776,57149.0,1543978.75,-1.6516034376944584,793065.25,1862493.0,1552244.0,-18.375303378272044,66224.5,0.011757705435532713,,0.0110445253000464,177227.66666666666,17049.666666666668,-0.12445005922504915,4143129.6666666665,3307620.6666666665,17050.0,12.1353129339828,267640.0,0.025520929027159998,1.0000027107323315,0.01729439423952413,-249152.0,1163892.0,0.5050979707684147,3179969.25,3433512.25,1163805.5,-2.767853487324271,154660.0,0.012520319857119645,,-0.016182986756304925,0.2206504306582393,-0.05813235745648013,0.0027466586651311298,0.027375544160217723,0.0086708769374804,0.020287538579165466,0.0008210021815102247,20495682.0,542611.0,1372451.0,0.3953591057167068,7712785.0,6987326.0,1413175.0,4.944416650450227,1093657.0,0.0533603614654052,0.02070780825306,1.0296724618948145,0.0264744056821334,0.0376814004042412,1758486.5,-23002.0,330622.0,872143.25,-1999638.5,0.01374254670348845,606757.4791666666,10122988.791666666,8848705.854166666,9178781.791666666,196699780.91666666,1.0127023619393594,0.012568845352580762,0.2980782103531663,7515361.45,1345926.4583333333,0.08486524975973561,-0.08925732284210887,0.06951656368400315,-0.056326055692729186,-0.6266834552476119,0.09734415160263868,-0.49884444251854315,16364067.304166665,0.0472079933065204,-0.43895355335393293,0.5050979707684147,-0.12445005922504904,-1.6516034376944582,0.40510993661965466,0.39535910571670685,2183000.0,1646.0,1646.0,420.0,803102316.0,742271124.0,769061607.0,822603349.0,9757728.0,124625171.0,1.2153298098589642,88602893.0,125515925.0,129826677.0,19683278.0,228596.0,6175915.0,-3.3032068753889168,3172261.0,7449972.0,6208976.0,264898.0,531683.0,51149.0,-0.2489001184500983,12429389.0,9922862.0,51150.0,802920.0,-996608.0,4655568.0,1.515293912305244,12719877.0,13734049.0,4655222.0,618640.0,20495682.0,542611.0,1372451.0,0.3953591057167068,7712785.0,6987326.0,1413175.0,1093657.0,7033946.0,-92008.0,991866.0,3488573.0,-3999277.0,2427029.9166666665,40491955.166666664,35394823.416666664,36715127.166666664,786799123.6666666,30061445.8,5383705.833333333
1012Z,2000000.0,275.0,275.0,64.0,78860050.0,68368140.0,60510143.0,57987688.0,357559.0,2047703.0,0.174614678007504,20550455.0,12440651.0,2213694.0,5.619860287826592,2522053.0,0.0319813771358247,1.0810620485490328,0.0045340955274565,124200.0,1704992.0,0.0728449165743886,21965686.0,12397863.0,1970291.0,6.292401985290498,2640145.0,0.0386165983161162,1.1556013166044181,0.0018166356434444,-559596.0,1597638.0,-0.3502645780833956,22781173.0,11904665.0,1753293.0,6.789889082999818,1835494.0,0.0303336582761009,1.0974282033852474,-0.0092479702122006,-736153.0,1376385.0,-0.5348452649513036,23755480.0,11348819.0,1505856.0,7.536457005185091,898836.0,0.0155004627878938,1.0940659771793502,-0.0126949879429578,0.1534619780500098,0.1298624761141285,0.0434998374137627,0.0076136396058587,0.0074182506647102,-0.0036596839640587,-0.0075603290132898,,,,,,,,,,,0.029108024128983896,,,,600412.0,507172.0,-221448.0,-438406.0,,0.0009529693233051,-203497.5,12022999.5,1681679.5,1860783.5,66431505.25,1.1065030524544064,-0.0038980567460643748,6.5596520903255,22263198.5,1974132.0,0.108941430525967,-0.07478977620864774,-0.05512515943657665,0.011910730513296863,0.03496240377269602,,-0.020024913857371266,23944878.0,0.03351156414327941,-0.12100849180833803,-0.5348452649513036,-0.3502645780833956,0.07284491657438862,0.17461467800750402,,2000000.0,275.0,275.0,64.0,78860050.0,68368140.0,60510143.0,57987688.0,357559.0,2047703.0,0.174614678007504,20550455.0,12440651.0,2213694.0,2522053.0,124200.0,1704992.0,0.0728449165743886,21965686.0,12397863.0,1970291.0,2640145.0,-559596.0,1597638.0,-0.3502645780833956,22781173.0,11904665.0,1753293.0,1835494.0,-736153.0,1376385.0,-0.5348452649513036,23755480.0,11348819.0,1505856.0,898836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600412.0,507172.0,-221448.0,-438406.0,0.0,-203497.5,12022999.5,1681679.5,1860783.5,66431505.25,22263198.5,1974132.0
1013A,576212.0,62.5,62.5,25.0,13177617.5,14604399.0,9510418.0,9903131.0,563571.5,1934685.5,-0.025162132005636495,7063225.5,6321749.0,1998791.5,2.5922182509090965,1222742.0,0.0681612830803198,1.0866533686820106,0.021057376028279347,551880.0,3293342.0,0.1675744578000098,8405567.0,8636233.0,3412012.0,2.5311262094037184,1691121.0,0.1157953161920596,1.0360333059852271,0.0377886142387646,80108.0,1618776.5,-0.025669734044957856,3742597.0,2960869.5,1739473.0,1.6644164237387018,296985.0,0.02940759937424285,1.0842912327308176,0.004216042070219301,260470.0,1639671.5,0.10721312729734025,3404428.5,3228128.5,1765335.5,1.6746491180884948,468308.5,0.04445632019996615,1.085379158465145,0.0203771168012598,0.3122774172357246,0.2352802958298756,-0.015590735611980752,0.042527926323824,0.1005438840721894,0.006240211841896349,0.0228902457150326,7318301.0,103521.0,546244.0,0.1895142097670638,2611527.0,930481.0,603669.0,1.5413761515002429,285190.0,0.0389694274668396,0.0529532216306139,1.1051270128367543,0.0141454963385627,0.0150697545782825,928405.5,1468383.0,96124.5,286798.5,110285.0,0.029441444554964388,283531.625,4338853.291666667,1784925.4583333333,1885942.1666666667,10888129.125,1.079603224289318,0.017904397547105523,1.9918837432970684,4929699.5,729180.8333333334,0.10634419991786051,0.11455041319850787,-0.04972508484260606,0.10563871627942233,-0.1476832706711832,0.31676009448857445,-0.04657439792368202,6714624.958333333,0.04224673993418157,0.034307625155786975,0.10721312729734031,-0.025669734044957877,0.16757445780000985,-0.025162132005636467,0.1895142097670638,1152424.0,125.0,125.0,50.0,26355235.0,14604399.0,19020836.0,19806262.0,1127143.0,3869371.0,-0.05032426401127299,14126451.0,12643498.0,3997583.0,2445484.0,551880.0,3293342.0,0.1675744578000098,8405567.0,8636233.0,3412012.0,1691121.0,160216.0,3237553.0,-0.05133946808991571,7485194.0,5921739.0,3478946.0,593970.0,520940.0,3279343.0,0.2144262545946805,6808857.0,6456257.0,3530671.0,936617.0,7318301.0,103521.0,546244.0,0.1895142097670638,2611527.0,930481.0,603669.0,285190.0,1856811.0,1468383.0,192249.0,573597.0,110285.0,567063.25,8677706.583333334,3569850.9166666665,3771884.3333333335,21776258.25,9859399.0,1458361.6666666667
1020Z,701060.0,75.0,75.0,,9752274.0,7505844.0,6803573.0,6961143.0,282237.0,3567775.0,0.0791072867543497,3633254.0,3697911.0,3567775.0,1.036475394328398,1199461.0,0.1229929552840701,1.0,0.0289406347688754,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,333298.0,2838399.0,0.1174246467815131,2783697.0,2874664.0,2838402.0,1.0127754983261708,891524.0,0.1310376180280567,1.000001056933856,0.0489886710997295,0.0,0.0,,0.0,0.0,0.0,,-8800.0,-0.0012641602104711,,0.0,0.2992907926143948,0.1032209105421518,-0.0226356504959027,0.026107449401032,0.0637134211688918,0.0537679245890357,0.1628991101030391,,,,,,,,,,,0.06319160327541393,,,,254607.0,478223.0,365814.0,1133964.0,,0.07662197631549965,153883.75,1643143.75,1601543.5,1601544.25,7755708.5,1.0000004682982386,0.019482326467151225,1.0246254463272844,1604237.75,520546.25,0.1266253508868813,,9.191384920853785,,2.1687849634228806,,3.699173066983978,3205781.25,0.054978989130964565,0.09608465208718964,,0.1174246467815131,,0.0791072867543497,,701060.0,75.0,75.0,0.0,9752274.0,7505844.0,6803573.0,6961143.0,282237.0,3567775.0,0.0791072867543497,3633254.0,3697911.0,3567775.0,1199461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333298.0,2838399.0,0.1174246467815131,2783697.0,2874664.0,2838402.0,891524.0,0.0,0.0,0.0,0.0,0.0,0.0,-8800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254607.0,478223.0,365814.0,1133964.0,0.0,153883.75,1643143.75,1601543.5,1601544.25,7755708.5,1604237.75,520546.25
1031Z,6816184.0,149.0,149.0,,24286428.0,22074559.0,13663350.0,,-6158341.0,6130504.0,-1.0045407359655911,11083452.0,4774290.0,6186355.0,0.7717452360881327,-4847732.0,-0.1996066280310962,1.0091103439456202,-0.2535712950459409,-6335212.0,7388845.0,-0.8574022056221237,10428666.0,6064158.0,7457848.0,0.8131243758253051,-6225883.0,-0.2820388393716042,1.0093388073508105,-0.2869915543952656,-3453604.0,4796396.0,-0.7200414644662367,5653794.0,6048707.0,4852045.0,1.2466304413912073,-3185306.0,-0.2331277468556393,1.0116022530249795,-0.2527640732324064,,,,,,,,,,,,0.1001999179236151,0.6156037135841503,,-0.2600959268279386,-0.3012060625990309,-0.2526952760486996,,,,,,,,,,,,-0.2382577380861132,,,,-6316801.0,-6648991.0,-3452664.0,,,-0.27133242182522305,-5315719.0,5629051.666666667,6105248.333333333,6165416.0,20008112.333333332,1.0098550727802773,-0.26444230755787096,0.9438333511015483,9055304.0,-4752973.666666667,0.3579018157538827,,-2.8860313104285087,4.545639274157094,4.361230538254259,,9.910649664127561,15160552.333333332,0.050135309713979864,-0.8706802262206643,,-0.7200414644662367,-0.8574022056221237,-1.0045407359655911,,6816184.0,149.0,149.0,0.0,24286428.0,22074559.0,13663350.0,0.0,-6158341.0,6130504.0,-1.0045407359655911,11083452.0,4774290.0,6186355.0,-4847732.0,-6335212.0,7388845.0,-0.8574022056221237,10428666.0,6064158.0,7457848.0,-6225883.0,-3453604.0,4796396.0,-0.7200414644662367,5653794.0,6048707.0,4852045.0,-3185306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6316801.0,-6648991.0,-3452664.0,0.0,0.0,-5315719.0,5629051.666666667,6105248.333333333,6165416.0,20008112.333333332,9055304.0,-4752973.666666667
1039B,974958.5,58.0,58.0,34.0,43117689.0,28782893.5,29301015.5,29462964.5,956875.0,16771704.0,0.0570529386876849,14514444.0,22081133.0,16875073.0,1.308505924685481,2686150.0,0.0622980976554657,1.0061632974204648,0.0221921680449988,616539.5,10230365.0,0.0692902006185544,5564670.5,12992148.5,10321243.0,1.212425100168132,1443286.5,0.0546158164338776,1.005792273340131,0.027432166980175303,641666.0,9774249.5,0.09000997289800325,5001005.0,12170164.0,9786655.5,1.1477683352311445,1357160.5,0.06190730062691595,1.0008423829292452,0.03307941653863035,1312995.5,9284609.5,0.12889267368942325,5638104.5,12431274.5,9318974.5,1.241229202713173,2331077.5,0.07316073296500075,1.0024332514484449,0.042274572180710596,-0.0728975519033721,-0.0563273259571678,0.0111111413562293,0.0322168472433668,0.0358827034076715,0.04235424806073455,0.058817353685205104,,,,,,,,,,,0.06413327721092224,,,,1389116.0,795404.0,762410.5,1848839.5,,0.04547639009871485,826711.75,12772165.416666666,10003709.791666666,10051043.166666666,28769442.958333332,1.0030880548440666,0.033816335089848826,1.195130464687189,6156627.166666667,1726041.0416666667,-0.034293609432493245,1.0028006844126125,-1.6214641808484416,0.42815711388337163,0.18380022512226135,,1.2300349246640991,16160336.958333332,0.06182754330045365,0.09211934256071486,0.12889267368942325,0.0900099728980033,0.06929020061855445,0.05705293868768493,,1949917.0,116.0,116.0,68.0,43117689.0,57565787.0,58602031.0,58925929.0,956875.0,16771704.0,0.0570529386876849,14514444.0,22081133.0,16875073.0,2686150.0,1233079.0,20460730.0,0.1385804012371088,11129341.0,25984297.0,20642486.0,2886573.0,1283332.0,19548499.0,0.1800199457960065,10002010.0,24340328.0,19573311.0,2714321.0,2625991.0,18569219.0,0.2577853473788465,11276209.0,24862549.0,18637949.0,4662155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389116.0,1590808.0,1524821.0,3697679.0,0.0,1653423.5,25544330.833333332,20007419.583333332,20102086.333333332,57538885.916666664,12313254.333333334,3452082.0833333335
