,ape_code,revenue_2022,resultat_exploitation_ratio_2022,last_number_of_employees,enrollment,equity_2022,current_assets_2022,gross_operating_ebitda_ratio_2022,net_result_2022,current_liabilities_2022,capital,roe_2022,net_debt_2022,reimbursement_ratio_2022,siren,siret,robustness_ratio_2022,societeinfo_growth_ratio_2022,gross_operating_ebitda_2022,resultat_d_exploitation_2022,solvability_ratio_2022,resultat_exploitation_ratio,net_result,current_assets,equity,current_liabilities,revenue,robustness_ratio,solvability_ratio,net_debt,gross_operating_ebitda,gross_operating_ebitda_ratio,CAGR_18_22,RCI_2022,RCI,total_fonds,equity_costs,RdtCpx_2022,RdtCpx,reimbursement_ratio,RCI_21_22,capital_moy_sect,enrollment_moy_sect,last_number_of_employees_moy_sect,employees_number_for_linkedin_moy_sect,revenue_2022_moy_sect,net_result_2022_moy_sect,equity_2022_moy_sect,roe_2022_moy_sect,net_debt_2022_moy_sect,current_assets_2022_moy_sect,current_liabilities_2022_moy_sect,solvability_ratio_2022_moy_sect,gross_operating_ebitda_2022_moy_sect,gross_operating_ebitda_ratio_2022_moy_sect,gross_operating_ebitda_ratio_moy_sect,reimbursement_ratio_2022_moy_sect,robustness_ratio_2022_moy_sect,societeinfo_growth_ratio_2022_moy_sect,resultat_exploitation_ratio_2022_moy_sect,resultat_d_exploitation_2022_moy_sect,resultat_exploitation_ratio_moy_sect,net_result_moy_sect,current_assets_moy_sect,equity_moy_sect,current_liabilities_moy_sect,revenue_moy_sect,reimbursement_ratio_moy_sect,robustness_ratio_moy_sect,solvability_ratio_moy_sect,net_debt_moy_sect,gross_operating_ebitda_moy_sect,CAGR_18_22_moy_sect,RCI_2022_moy_sect,RCI_moy_sect,total_fonds_moy_sect,equity_costs_moy_sect,enrollment_sum,last_number_of_employees_sum,employees_number_for_linkedin_sum,revenue_2022_sum,roe_2022_sum,net_debt_2022_sum,gross_operating_ebitda_2022_sum,resultat_d_exploitation_2022_sum,net_result_sum,revenue_sum,net_debt_sum,pdm,pdm_2022,classification
18,6820A,5473556.0,0.1180497650887284,24.0,24.0,15522141.0,17831950.0,0.1744354127371675,3029843.0,15820552.0,1625370.0,0.1951949154436878,20620349.0,1.3284474738375331,312480205.0,31248020500037.0,0.5535419752716516,1.343631476230806,954782.0,646152.0,1.1271382945424409,-0.0393817860032681,-90125.0,21654304.0,12654124.0,12822806.0,3017593.2,0.0861575221759028,1.5714840433750423,23073704.8,-76254.25,-0.0287302266089284,0.0248220018248274,1.5063368860861948,-0.01020495050783,35727828.8,0.0477090582117881,0.1951949154436878,-0.0071221840405546,1.013330199704065,1.43,51927653.6,61.0,61.0,27.666666666666668,,,,,,,,,,,0.385115652510606,,,,,,0.115906366250855,1178903.05,14535671.95,35850654.2,36552649.3,22170138.1,1.0306794595505242,0.0771955969852255,0.4338562477923324,105378485.2,5909872.1,0.0431887265372195,,-0.0524979156967166,141229139.4,0.045132839516477,305.0,305.0,83.0,0.0,0.0,0.0,0.0,0.0,5894515.25,110850690.5,526892426.0,0.0272221416609037,inf,À potentiel
32,8230Z,11048764.0,0.049761131652373,44.0,44.0,1997440.0,5687128.0,0.123660347890497,691702.0,2705183.0,50000.0,0.3462942566485101,4029150.0,2.017156960909965,515013506.0,51501350600040.0,0.0626044686989422,0.5438108476232155,1366294.0,549799.0,2.1023080508786283,0.058843352237138,409582.0,5930265.5,1292682.75,1804436.0,8765890.4,0.0522818885156793,3.113407580610901,4862470.8,1165488.5,0.1612779796340149,0.0840805359212926,0.2319633661922,0.0992726432345301,6155153.55,0.0405008164256113,0.3462942566485101,0.3168464961723981,1.395884643776673,0.04,766817.5,59.0,59.0,89.0,11048764.0,691702.0,1997440.0,0.3462942566485101,4029150.0,5687128.0,2705183.0,2.1023080508786283,1366294.0,0.123660347890497,0.0760338194030082,2.017156960909965,0.0626044686989422,0.5438108476232155,0.049761131652373,549799.0,0.0123539558622237,301541.0,10561757.75,3312466.375,3653343.0,16174070.2,1.213883059850735,0.003643005172263,2.9499687218623247,15202610.4,717748.75,0.0831373001225877,0.2319633661922,0.0596198114531953,18515076.775,0.039568019548838,118.0,118.0,178.0,11048764.0,0.3462942566485101,4029150.0,1366294.0,549799.0,603082.0,32348140.4,30405220.8,0.270985914232028,1.0,Pépite
59,4671Z,927495000.0,0.0955088706677664,355.0,355.0,289591000.0,550622000.0,0.1578693146593782,66768000.0,357831000.0,195225000.0,0.2305596513703809,472720000.0,1.6323711717560283,402960397.0,40296039700048.0,0.0719874500671162,0.3201366195473752,146423000.0,88584000.0,1.5387766850831817,0.0543182209106734,27840415.75,212784225.5,137290516.5,171433583.25,793880002.2,0.0444528917292984,1.1983152547631757,255278245.8,70597601.0,0.0957202845317287,-0.0053502059630766,0.3463232204822839,0.6732765015276153,392568762.3,0.0474861743577909,0.2305596513703809,0.2027846967128279,1.2486920992099262,-0.11,551501.6666666666,25.55555555555556,25.55555555555556,16.0,43175557.66666666,283000.0,2123605.5,0.133280111899999,8805814.5,9609495.0,2163580.0,4.490619062905161,906684.0,0.0174998017897082,0.0127550750998608,4.147585133323933,0.00555544731908,0.3839444542439467,0.012024778124895,538766.5,0.010088120637971,325166.8055555556,5029052.361111111,2123795.361111111,2224352.7962962966,48151109.094444446,1.036083838517726,0.0061433754710294,2.268191016553692,4526242.246296297,647302.5648148148,0.0125708478515101,0.0650410559405635,0.1612565785634605,6650037.607407408,0.0490947445822835,230.0,230.0,64.0,129526673.0,0.266560223799998,17611629.0,1813368.0,1077533.0,2926501.25,433359981.85,40736180.21666667,1.831918117614256,7.160648679673877,À potentiel
62,4673A,12906458.0,0.0430011084373419,32.0,32.0,3179632.0,5377502.0,0.0583526479534509,379531.0,3179631.0,102000.0,0.1193631841672243,3169015.0,0.9966609343471194,349003897.0,34900389700031.0,0.0294062863722951,0.0811322150302871,753126.0,554992.0,1.6912346118150188,0.0349454835762526,178421.66666666666,2714940.333333333,1785054.0,1785053.6666666667,9671011.0,0.0283526873692931,1.5747420340517235,1993557.25,347142.6666666667,0.0553897536511758,0.7301317391304348,0.1726811992150585,0.191874637052544,3778611.25,0.0536205034323126,0.1193631841672243,0.099953091988627,0.999999813264286,-0.04,598929.6666666666,50.172413793103445,50.172413793103445,19.3125,14534125.857142856,407916.4,3457048.6,0.1132681266841486,3681134.0,6317106.6,3466558.0,1.8892777285267128,899007.6,0.0833360864140269,0.0490680570047701,1.137895809096834,0.0392125540115191,0.0573450328532419,0.0596114744868412,800486.25,0.0312930701604406,313528.0527777777,6611928.169444445,3357258.163888889,3386629.480555556,15992904.436666667,1.0107769089955638,0.0214903539235883,2.190119002917281,4585487.724444445,725973.6055555556,0.067051761862511,0.2007223124167222,0.1255795123298885,7942745.888333334,0.0508851647887191,1455.0,1455.0,309.0,101738881.0,0.5663406334207433,18405670.0,4495038.0,3201945.0,9405841.583333332,479787133.1,137564631.73333335,0.0201568786088815,0.1268586588838145,Pépite
69,4673A,,,37.0,37.0,2980312.0,5450729.0,,0.0,2980312.0,500000.0,0.0,2899958.0,0.9730383932957356,334532827.0,33453282700014.0,,,0.0,,1.82891220784938,0.037257172826545,312184.5,3668215.25,1694332.25,1694332.0,10622868.25,0.0284322118067009,2.117457929178144,2480596.0,826760.75,0.0754863096563103,0.1054756189942813,0.0,0.1581575303402569,4174928.25,0.0502917529181489,0.0,0.1842522327011128,0.9999998524492466,-0.23,598929.6666666666,50.172413793103445,50.172413793103445,19.3125,14534125.857142856,407916.4,3457048.6,0.1132681266841486,3681134.0,6317106.6,3466558.0,1.8892777285267128,899007.6,0.0833360864140269,0.0490680570047701,1.137895809096834,0.0392125540115191,0.0573450328532419,0.0596114744868412,800486.25,0.0312930701604406,313528.0527777777,6611928.169444445,3357258.163888889,3386629.480555556,15992904.436666667,1.0107769089955638,0.0214903539235883,2.190119002917281,4585487.724444445,725973.6055555556,0.067051761862511,0.2007223124167222,0.1255795123298885,7942745.888333334,0.0508851647887191,1455.0,1455.0,309.0,101738881.0,0.5663406334207433,18405670.0,4495038.0,3201945.0,9405841.583333332,479787133.1,137564631.73333335,0.0221407943588723,,Pépite
71,4673A,13107678.0,0.1046605661201015,23.0,23.0,5811248.0,7122086.0,0.1392414430687113,716485.0,5811247.0,1000000.0,0.1232927935617271,2253440.0,0.3877721274328681,314584160.0,31458416000050.0,0.0546614739849422,0.0690782798541815,1825132.0,1371857.0,1.225569314124834,0.0883169188386819,588217.25,6173299.75,4653238.75,4653238.5,11059038.6,0.0545838586935479,1.3121226396827743,2440013.8,1332222.25,0.123105937417945,0.0527399557743966,0.5465850497276935,0.3869694395538338,7093252.55,0.0628004587260889,0.1232927935617271,0.126410287888194,0.9999999462739796,-0.29,598929.6666666666,50.172413793103445,50.172413793103445,19.3125,14534125.857142856,407916.4,3457048.6,0.1132681266841486,3681134.0,6317106.6,3466558.0,1.8892777285267128,899007.6,0.0833360864140269,0.0490680570047701,1.137895809096834,0.0392125540115191,0.0573450328532419,0.0596114744868412,800486.25,0.0312930701604406,313528.0527777777,6611928.169444445,3357258.163888889,3386629.480555556,15992904.436666667,1.0107769089955638,0.0214903539235883,2.190119002917281,4585487.724444445,725973.6055555556,0.067051761862511,0.2007223124167222,0.1255795123298885,7942745.888333334,0.0508851647887191,1455.0,1455.0,309.0,101738881.0,0.5663406334207433,18405670.0,4495038.0,3201945.0,9405841.583333332,479787133.1,137564631.73333335,0.0230498857452582,0.128836467151629,Pépite
76,4673A,10950402.0,0.0479944023972818,16.0,16.0,1985090.0,3668622.0,0.0758533796293506,400684.0,1990592.0,350000.0,0.201846767652852,2439739.0,1.2290319330609696,309276590.0,30927659000028.0,0.0365908027851397,0.3280332803837402,830625.0,525558.0,1.8429803797061377,0.0528898034801198,182615.0,2860633.25,1822378.0,1826204.5,8956207.0,0.0429192655776778,1.6319009928262769,2098243.6,414051.75,0.1043533020914484,0.0746727235120214,0.2387823817214233,0.1765370500384874,3920621.6,0.0532409319991503,0.201846767652852,0.100206982305537,1.0020997290353593,-0.0,598929.6666666666,50.172413793103445,50.172413793103445,19.3125,14534125.857142856,407916.4,3457048.6,0.1132681266841486,3681134.0,6317106.6,3466558.0,1.8892777285267128,899007.6,0.0833360864140269,0.0490680570047701,1.137895809096834,0.0392125540115191,0.0573450328532419,0.0596114744868412,800486.25,0.0312930701604406,313528.0527777777,6611928.169444445,3357258.163888889,3386629.480555556,15992904.436666667,1.0107769089955638,0.0214903539235883,2.190119002917281,4585487.724444445,725973.6055555556,0.067051761862511,0.2007223124167222,0.1255795123298885,7942745.888333334,0.0508851647887191,1455.0,1455.0,309.0,101738881.0,0.5663406334207433,18405670.0,4495038.0,3201945.0,9405841.583333332,479787133.1,137564631.73333335,0.018667042907408,0.1076324202936731,Pépite
80,4673A,9013900.0,0.0952729673060495,22.0,22.0,2619287.0,4613417.0,0.0983949233960882,610160.0,2631518.0,786310.0,0.2329488902896093,2286238.0,0.8728474581059654,808603575.0,80860357500016.0,0.0676910105503722,0.1526785303249632,886922.0,858781.0,1.7531390627006922,0.0944328338323294,299013.75,2375121.75,1296769.25,1291787.25,6515486.2,0.052669080978249,1.3569270713362285,1419613.8,413636.25,0.0681363904211085,0.1755541328561921,0.3078663443495354,0.2760123950635745,2716383.05,0.0538694106488405,0.2329488902896093,0.2305836215656717,0.9961581445581008,0.05,598929.6666666666,50.172413793103445,50.172413793103445,19.3125,14534125.857142856,407916.4,3457048.6,0.1132681266841486,3681134.0,6317106.6,3466558.0,1.8892777285267128,899007.6,0.0833360864140269,0.0490680570047701,1.137895809096834,0.0392125540115191,0.0573450328532419,0.0596114744868412,800486.25,0.0312930701604406,313528.0527777777,6611928.169444445,3357258.163888889,3386629.480555556,15992904.436666667,1.0107769089955638,0.0214903539235883,2.190119002917281,4585487.724444445,725973.6055555556,0.067051761862511,0.2007223124167222,0.1255795123298885,7942745.888333334,0.0508851647887191,1455.0,1455.0,309.0,101738881.0,0.5663406334207433,18405670.0,4495038.0,3201945.0,9405841.583333332,479787133.1,137564631.73333335,0.0135799519213909,0.0885983796106426,Pépite
83,4673A,,,239.0,239.0,,,,,,7400000.0,,,,553750407.0,55375040700080.0,,,,,,0.0311252623246865,1196315.5,16487483.0,12972248.0,13027336.0,76405831.0,0.0151881065568435,0.8430218162991966,13591942.75,2695949.0,0.0342073699181564,0.0419081272327387,,0.3457412358492284,26564190.75,0.0544167950043801,,0.0922211400830449,1.0042466039810525,,598929.6666666666,50.172413793103445,50.172413793103445,19.3125,14534125.857142856,407916.4,3457048.6,0.1132681266841486,3681134.0,6317106.6,3466558.0,1.8892777285267128,899007.6,0.0833360864140269,0.0490680570047701,1.137895809096834,0.0392125540115191,0.0573450328532419,0.0596114744868412,800486.25,0.0312930701604406,313528.0527777777,6611928.169444445,3357258.163888889,3386629.480555556,15992904.436666667,1.0107769089955638,0.0214903539235883,2.190119002917281,4585487.724444445,725973.6055555556,0.067051761862511,0.2007223124167222,0.1255795123298885,7942745.888333334,0.0508851647887191,1455.0,1455.0,309.0,101738881.0,0.5663406334207433,18405670.0,4495038.0,3201945.0,9405841.583333332,479787133.1,137564631.73333335,0.1592494373626211,,Pépite
99,4673A,11587775.0,0.0811453449864188,28.0,28.0,5355352.0,6338432.0,0.1276450397077955,516842.0,5355353.0,1000000.0,0.0965094357943231,2247435.0,0.4196614900383765,426780250.0,42678025000038.0,0.044602350321783,0.0532190427300025,1479122.0,940294.0,1.1835694117642666,0.045941402431202,277249.0,5187433.0,4593679.5,4593679.5,10007762.2,0.0314604546151745,1.138548309092709,2276184.2,941287.25,0.0960156552427768,0.076502809199869,0.5257380129165611,0.4669429317048236,6869863.7,0.0634335563309647,0.0965094357943231,0.0603544500655737,1.0,0.02,598929.6666666666,50.172413793103445,50.172413793103445,19.3125,14534125.857142856,407916.4,3457048.6,0.1132681266841486,3681134.0,6317106.6,3466558.0,1.8892777285267128,899007.6,0.0833360864140269,0.0490680570047701,1.137895809096834,0.0392125540115191,0.0573450328532419,0.0596114744868412,800486.25,0.0312930701604406,313528.0527777777,6611928.169444445,3357258.163888889,3386629.480555556,15992904.436666667,1.0107769089955638,0.0214903539235883,2.190119002917281,4585487.724444445,725973.6055555556,0.067051761862511,0.2007223124167222,0.1255795123298885,7942745.888333334,0.0508851647887191,1455.0,1455.0,309.0,101738881.0,0.5663406334207433,18405670.0,4495038.0,3201945.0,9405841.583333332,479787133.1,137564631.73333335,0.0208587548718488,0.1138972130035517,Pépite
