SIRET,company,star,avis,resultats
33105740600067,203,4.3,6.0,"""
""date:"""": ""il y a 6 ans"", ""name"": ""S G (“GS”)"", ""
""avis:"""": ""Une catastrophe ! Des fiches de paie envoyées à la mauvaise adresse, des délais de réponse très longs et par mail uniquement, l'impossibilité d'avoir quelqu'un au téléphone hormis la standardiste qui répond systématiquement que la personne …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 6 ans"", ""name"": ""S G (“GS”)"", ""
""avis:"""": ""Une catastrophe ! Des fiches de paie envoyées à la mauvaise adresse, des délais de réponse très longs et par mail uniquement, l'impossibilité d'avoir quelqu'un au téléphone hormis la standardiste qui répond systématiquement que la personne …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a un an"", ""name"": ""Quentin Mrcr"", ""
""avis:"""": ""Accueil toujours bienveillant. Bureaux lumineux avec une belle vue sur les toits parisiens !"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un an"", ""name"": ""Quentin Mrcr"", ""
""avis:"""": ""Accueil toujours bienveillant. Bureaux lumineux avec une belle vue sur les toits parisiens !"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 5 ans"", ""name"": ""Nicolas Ducharme"", ""
""avis:"""": ""Un expert comptable de qualité, réactif, efficace et force de proposition, même sur des dossiers complexes et parfois à réaliser dans l'urgence."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 5 ans"", ""name"": ""Nicolas Ducharme"", ""
""avis:"""": ""Un expert comptable de qualité, réactif, efficace et force de proposition, même sur des dossiers complexes et parfois à réaliser dans l'urgence."", ""
""évaluation:"""": 5"
84529824900028,163,4.8,101.0,"""
""date:"""": ""il y a une semaine"", ""name"": ""Sofia Zaghouani"", ""
""avis:"""": ""J'ai passé mon permis dans cette auto-école et je vous conseille vivement d'en faire autant !!
C'est une auto-école familiale, avec des moniteurs d'exception. Ils sont …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a une semaine"", ""name"": ""Sofia Zaghouani"", ""
""avis:"""": ""J'ai passé mon permis dans cette auto-école et je vous conseille vivement d'en faire autant !!
C'est une auto-école familiale, avec des moniteurs d'exception. Ils sont …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""Marine Benmahrez"", ""
""avis:"""": ""Une auto école de haute qualité. L’accueil est parfaite, on vous répond à toutes vos questions et vous arrange sur vos disponibilités.
J’y ai passé une formation de 7h pour scooter 125cc et j’en suis pleinement …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""Marine Benmahrez"", ""
""avis:"""": ""Une auto école de haute qualité. L’accueil est parfaite, on vous répond à toutes vos questions et vous arrange sur vos disponibilités.
J’y ai passé une formation de 7h pour scooter 125cc et j’en suis pleinement …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""Younes"", ""
""avis:"""": ""Une superbe auto-école.
Le personnel a su être à l'écoute et m'a accompagné tout au long de ma conduite, ainsi que pour mon examen du permis. Un énorme Merci à Jennie pour son …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""Younes"", ""
""avis:"""": ""Une superbe auto-école.
Le personnel a su être à l'écoute et m'a accompagné tout au long de ma conduite, ainsi que pour mon examen du permis. Un énorme Merci à Jennie pour son …"", ""
""évaluation:"""": 5"
45035132500037,137,2.8,75.0,nan
31219677700014,179,,,nan
84801266200013,165,4.9,75.0,"""
""date:"""": ""il y a 3 semaines"", ""name"": ""Guilhem Agnely"", ""
""avis:"""": ""Bonjour,
J'ai laissé une Omega pour fixer une trotteuse et changer le verre.
Resultat : le verre neuf etait ""discretement"" fendu et la trotteuse n'a pas tenu …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 3 semaines"", ""name"": ""Guilhem Agnely"", ""
""avis:"""": ""Bonjour,
J'ai laissé une Omega pour fixer une trotteuse et changer le verre.
Resultat : le verre neuf etait ""discretement"" fendu et la trotteuse n'a pas tenu …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 3 mois"", ""name"": ""Arthur"", ""
""avis:"""": ""Boutique lumineuse, une collection de montres de qualités.
Emilie et Youssef sont très accueillant, souriant et font du travail d'exception ! …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 mois"", ""name"": ""Arthur"", ""
""avis:"""": ""Boutique lumineuse, une collection de montres de qualités.
Emilie et Youssef sont très accueillant, souriant et font du travail d'exception ! …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""Jason HAYAT"", ""
""avis:"""": ""Tres accueillante et tres pro ! une adresse pour faire authentifier et reparer sa montre, une vrai passionnée. merci encore pour votre rapidité"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""Jason HAYAT"", ""
""avis:"""": ""Tres accueillante et tres pro ! une adresse pour faire authentifier et reparer sa montre, une vrai passionnée. merci encore pour votre rapidité"", ""
""évaluation:"""": 5"
34795123800869,304,4.3,271.0,"""
""date:"""": ""il y a 5 mois"", ""name"": ""AGOUDJIL Ramzi"", ""
""avis:"""": ""Alstom is a multinational company based in France that specializes in the manufacturing and servicing of various types of transportation infrastructure, including trains, trams, and metros. The company was founded in 1928 and has since …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 5 mois"", ""name"": ""AGOUDJIL Ramzi"", ""
""avis:"""": ""Alstom is a multinational company based in France that specializes in the manufacturing and servicing of various types of transportation infrastructure, including trains, trams, and metros. The company was founded in 1928 and has since …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 2 ans"", ""name"": ""Mouloud kab"", ""
""avis:"""": ""Bâtiment ancien mais propre"", ""
""évaluation:"""": 3
 
""
""date:"""": ""il y a 2 ans"", ""name"": ""Mouloud kab"", ""
""avis:"""": ""Bâtiment ancien mais propre"", ""
""évaluation:"""": 3
 
""
""date:"""": ""il y a 10 mois"", ""name"": ""Himanshu Thacker"", ""
""avis:"""": ""Excellent corporate office. The building has center dome and glass top which makes the building filled with natural light. The central lifts in open air also looks very elegant and gives a specific feature to the Alstom HQ."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 10 mois"", ""name"": ""Himanshu Thacker"", ""
""avis:"""": ""Excellent corporate office. The building has center dome and glass top which makes the building filled with natural light. The central lifts in open air also looks very elegant and gives a specific feature to the Alstom HQ."", ""
""évaluation:"""": 5"
38957398100013,128,5.0,2.0,"""
""date:"""": ""il y a un an"", ""name"": ""Hafid Cherkaoui"", ""
""avis:"""": null, ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un an"", ""name"": ""Hafid Cherkaoui"", ""
""avis:"""": null, ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""christophe alcamo"", ""
""avis:"""": null, ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""christophe alcamo"", ""
""avis:"""": null, ""
""évaluation:"""": 5"
34839062600292,307,5.0,1.0,"""
""date:"""": ""il y a 3 ans"", ""name"": ""Stefano Magni"", ""
""avis:"""": null, ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Stefano Magni"", ""
""avis:"""": null, ""
""évaluation:"""": 5"
33352059100095,278,,,nan
32212091600208,193,3.2,191.0,"""
""date:"""": ""il y a 3 mois"", ""name"": ""Ilyes Hadri"", ""
""avis:"""": ""Manque de communication, j'ai rencontré des difficultés pour obtenir des informations et des réponses claires de la part de votre service après-vente. J'ai dû faire plusieurs appels pour rein, en dernier ressort aussi une mauvaise …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 3 mois"", ""name"": ""Ilyes Hadri"", ""
""avis:"""": ""Manque de communication, j'ai rencontré des difficultés pour obtenir des informations et des réponses claires de la part de votre service après-vente. J'ai dû faire plusieurs appels pour rein, en dernier ressort aussi une mauvaise …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 2 mois"", ""name"": ""franck monville"", ""
""avis:"""": ""J'ai déposé une applewatch en réparation dans le cadre de la garantie AapleCare+, vendredi 9 juin dans votre magasin, il était prévu que je vienne la rechercher le vendredi suivant. Or, ni votre magasin ni le service client Apple n'est en …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 2 mois"", ""name"": ""franck monville"", ""
""avis:"""": ""J'ai déposé une applewatch en réparation dans le cadre de la garantie AapleCare+, vendredi 9 juin dans votre magasin, il était prévu que je vienne la rechercher le vendredi suivant. Or, ni votre magasin ni le service client Apple n'est en …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a un mois"", ""name"": ""Arnaud Sauron"", ""
""avis:"""": ""Procède avec ses sous traitant effectué au lance pierre, donc aucune souplesse en terme de pièces pour changer ne serrai-ce qu’un arrière de téléphone cassé process de gestion des pièces détachées a revoir pour éviter au client de se …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a un mois"", ""name"": ""Arnaud Sauron"", ""
""avis:"""": ""Procède avec ses sous traitant effectué au lance pierre, donc aucune souplesse en terme de pièces pour changer ne serrai-ce qu’un arrière de téléphone cassé process de gestion des pièces détachées a revoir pour éviter au client de se …"", ""
""évaluation:"""": 1"
